stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
Baza Obozowa Hufca ZHP Powiatu Trzebnickiego w Lginiu,"67-400 Wschowa, Lgiń 99c, Nadleśnictwo Włoszakowice, jezioro Lgińsko Małe",BRAK,BRAK,BRAK
Stanica Harcerska w Woli Michowej,"38-543, Komańcza, Wola Michowa 22, Nowy Łupków","Wola Michowa 22, 38-543 Wola Michowa, Polska",Wola Michowa 22,49.2383318,22.139065
Harcerska Baza Obozowa Cyranka - Przerwanki,"11-610, Przerwanki, bez numeru, leśnictwo Wilkus",BRAK,BRAK,BRAK
Baza Obozowa Hufca ZHP Szamotuły w Jeleńcu,"64-410 Bucharzewo, Jeleniec, Sieraków","Jeleniec, Bucharzewo, Polska",Jeleniec,52.6967553,16.0669944
HBO Przerwanki,"11-607 - Węgorzewo, leśnictwo Borki","Dworcowa 8A, 11-612 Kruklanki, Polska",Nadleśnictwo Borki,54.0895512,21.91216
Letnia Baza Obozowa Hufca ZHP Konin w Pobierowie,"72-346 Pobierowo, ul. Graniczna 10, leśnictwo Pobierowo","Graniczna 10, 72-346 Pobierowo, Polska",Graniczna 10,54.06435,14.952959
Stanica Harcerska w Kosarzyskach,Stanica Harcerska w Kosarzyskach 33-350 Piwniczna-Zdrój,"Kosarzyska, 33-350 Piwniczna-Zdrój, Polska",Stanica Harcerska Chorągwi Krakowskiej ZHP,49.4324729,20.6758168
Baza Hufca ZHP Szamotuły w Jeleńcu,"64-510 Sieraków, Jeleniec, Leśnictwo Lichwin","św. Huberta 1, 64-410 Sieraków, Polska",Leśnictwo Lichwin. Nadleśnictwo Sieraków,52.6700901,16.081494
Stanica Próchnówko,Stanica Próchnówko 78-640 Tuczno,"78-640 Tuczno, Polska",Kemping Stanica harcerska,53.19135439999999,16.1142294
Kaczeńcowa 7,"Ul. Kaczeńcowa 7, 31-831 Kraków","Kaczeńcowa 7, 31-831 Kraków, Polska",Kaczeńcowa 7,50.0875481,20.0323959
"Ośrodek Szkoleniowo-Wypoczynkowy ""Bieszczadzki Trakt""","38-700, Ustrzyki Dolne, ul. Korczaka 11","Janusza Korczaka 11, 38-700 Ustrzyki Dolne, Polska",Janusza Korczaka 11,49.42868499999999,22.584799
"Ośrodek Biwakowo-Obozowy Hufca ""PIAST"" Poznań Stare Miasto","62-022 Rogalinek, ul. Północna 25, leśnictwo Sasinowo","Północna 25, 62-022 Rogalinek, Polska",Północna 25,52.2603068,16.8915246
Baza Hufca ZHP Łódź Widzew ,76-107 Jarosławiec  ul Sosnowa 36,"Sosnowa 36, 76-113 Jarosławiec, Polska",Sosnowa 36,54.5275458,16.5249153
"Harcerska Baza Obozowa ""Krzeczków""","66-232 Mostki, leśnictwo Krzeczkowo",BRAK,BRAK,BRAK
Siedziba Hufca ZHP Wrocław im. Polonii Wrocławskiej,"pl. Św. Macieja 5a/3, 50-244 Wrocław","plac Świętego Macieja 5A/3, 50-244 Wrocław, Polska",plac Świętego Macieja 5A/3,51.1197184,17.0373942
Baza obozowa PATELNIA,72-513 WISEŁKA ul. Łąkowa 11 a  Kołczewo,"Łąkowa 11A, 72-513 Wisełka, Polska",Łąkowa 11A,53.96319200000001,14.57692
Letnia Stanica Obozowa ZHP Hufca Wieliczka,82-103 Stegna Jantar Leśniczówka,"82-103 Jantar Leśniczówka, Polska",Jantar Leśniczówka,54.3345571,19.0034589
