ID,Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kod pocztowy,Miasto,Ulica,Numer,Koordynaty GPS,X,Y,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?
1,test,test,lubuskie,test,,,,,test,,,test,test,cały rok,biwak/rajd/weekendowe kursy;,w lesie;,test,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,krąg ogniskowy;,test,nie
2,Dolnośląska,Baza Obozowa Hufca ZHP Powiatu Trzebnickiego w Lginiu,lubuskie,"67-400 Wschowa
Lgiń 99c, 
leśnictwo Wilanów",,,,,,,,lgin.hpt@zhp.net.pl,663-295-082   609-282-222,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza zlokalizowana jest w lesie na terenie Przemęckiego Parku Krajobrazowego w miejscowości Lgiń, gmina Wschowa. Baza znajduje się przy jeziorze Lginko. Około 1,2 km znajduje się jezioro kąpielowe Lgińsko  z plażą oraz ratownikiem. Na terenie bazy można przyjąć 350 osób tworząc jednocześnie 7 podobozów.",namioty (baza udostępnia własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,20 rowerów;kajaki;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Na terenie bazy znajdują się 3 budynki stołówka, kuchnia oraz świetlica. Do dyspozycji mamy również dwa duże pawilony namiotowe, z których jeden służy za stołówkę, a drugi za świetlicę. Na terenie bazy zagwarantowana jest 24 godzinna opieka pielęgniarska. W odległości 9 km znajduje się szpital.
Uczestnicy zakwaterowani są w namiotach wysoka i niska ""10"" oraz NS. Kadra obozowa może również korzystać z namiotów ""6""-sułtanka.
Około 300 m od bazy znajduje się wielofunkcyjne boisko typu ""Orlik"". 
Wyżywienie obejmuje 4 posiłki. ",tak
3,Podkarpacka,Stanica Harcerska w Woli Michowej,podkarpackie,"38-543, Komańcza, Wola Michowa 22, Nowy Łupków",,,,,,,,komendant@krosno.zhp.pl,505773950,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,nad rzeką;,"Teren łatwodostępny, położony blisko drogi, o powierzchni 2,5 ha, 2 półki, równocześnie może przebywać 150 osób",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,stanowisko dla niepełnosprawnych;toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak
4,Stołeczna,Harcerska Baza Obozowa Cyranka - Przerwanki,warmińsko-mazurskie,"11-610, Przerwanki, bez numeru, leśnictwo Wilkus",,,,,"54.1294884, 21.9376886,15",,,otwock@zhp.pl,602-262-488,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Baza obozowa położona jest na Mazurach, w lesie sosnowo – świerkowym na północnym brzegu jeziora Gołdapiwo. Jezioro jest objęte strefą ciszy - pływają po nim tylko żaglówki, łodzie wiosłowe i kajaki.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,kontenery sanitarne;toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;,boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak
5,Wielkopolska,Baza Obozowa Hufca ZHP Szamotuły w Jeleńcu,wielkopolskie,"64-410 Bucharzewo, Jeleniec, Sieraków",,,,,"52°41'44.9""N 16°04'17.8""E",,,szamotuly@zhp.pl,666388572,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Teren polodowcowy, urozmaicony pagórkami. Las w większości sosnowy, miejscami mieszany. W bliskim sąsiedztwie rezerwat o naturalnym zalesieniu mieszanym. Baza z dużą łąką do prowadzenia zajęć. Na terenie bazy 4 miejsca obozowe, w sumie na 200 uczestników.",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;,boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;,"Jeleniec jest położony na zachodnim brzegu polodowcowego Jeziora Kubek. Jezioro słynie z czystej wody, Lasy są objęte obszarem chronionym Natura 2000. W bliskim sąsiedztwie bazy znajduje się rezerwat przyrody. Cisza, spokój, rzadkie odwiedziny miejscowej ludności. Baza wyposażona w prąd, choć bez możliwości doprowadzenia do obozów.",tak
6,Warmińsko-Mazurska,HBO Przerwanki,warmińsko-mazurskie,"11-607 - Węgorzewo, leśnictwo Borki",,,,,"54.1323441,21.8410283",,,przerwanki@wm.zhp.pl,604 678 819 ,w sezonie letnim,obóz/kolonia;zimowisko;,w lesie;nad jeziorem;,"Las sosnowy i mieszany, możliwość organizacji małych i dużych obozów. ",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Baza Przerwanki to miejsce wypoczynku harcerzy. Jej niesamowity klimat sprzyja budowaniu wspólnoty i więzi podczas harcerskich obozów.  Warmia i Mazury to kraina tysiąca jezior. Tak naprawdę jest ich ponad dwukrotnie więcej, a tereny zaliczane są do obszaru „Zielonych Płuc Polski”. W Bazie znajduje się murowany pawilon sanitarny, pion żywieniowy (kuchnia, magazyn żywieniowy i stołówka), a także murowana świetlica.  Baza obozowa znajduje się nad malowniczym jeziorem Gołdapiwo, które w asyście wysokiego lasu tworzy cudowny klimat do zabaw 
i przygód!",tak
7,Wielkopolska,Letnia Baza Obozowa Hufca ZHP Konin w Pobierowie,zachodniopomorskie,"72-346 Pobierowo, ul. Graniczna 10, leśnictwo Pobierowo",,,,,,,,konin@zhp.pl,602757637,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad morzem;,"Letnia baza obozowa w Pobierowie zlokalizowana jest około 300 metrów od Morza Bałtyckiego w lesie sosnowym. Baza posiada przyłącze do wodociągu i kanalizacji oraz do sieci elektrycznej.

Uczestnicy obozów zakwaterowani są w nowych namiotach typu ""dziesiątka"" maksymalnie po 6 osób w każdym namiocie. Śpią na łóżkach typu ""kanadyjka"". Każdy namiot wyposażony jest w 6 łóżek z materacami, koce oraz półkę na ubrania i przybory codziennego użytku. W miarę potrzeb i możliwości w namiotach rozkładane są drewniane podkłady podłogowe.

Baza posiada stołówkę, mogącą pomieścić na jedną turę posiłku 150 osób, a także własne zaplecze kuchenne zatwierdzone każdego roku przez Państwowego Powiatowego Inspektora Sanitarnego w Gryficach.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety w kontenerach;krany;prysznice;ciepła woda;,"sprzęt nagłaśniający, sprzęt kwatermistrzowski itp.;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;",boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Do dyspozycji prowadzących zajęcia z dziećmi i młodzieżą pozostaje sprzęt multimedialny (projektor, laptop, ekran) oraz sprzęt nagłaśniający.
Więcej na stronie https://www.pobierowo.konin.zhp.pl/ ",tak
8,Krakowska,Stanica Harcerska w Kosarzyskach,małopolskie,Stanica Harcerska w Kosarzyskach 33-350 Piwniczna-Zdrój,,,,,"49.432587, 20.676067",,,nowysacz@zhp.pl,604819347,cały rok,obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,w lesie;w górach;,Stanica Harcerska w Kosarzyskach położona jest w miejscowości uzdrowiskowej Piwniczna-Zdrój na terenie Beskidu Sądeckiego. Stanica to stylowe drewniane schronisko z 50 miejscami noclegowymi i pole namiotowe na ok 50 os.,budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;sklepik;,krąg ogniskowy;zadaszona świetlica;,"Stanica Harcerska w Kosarzyskach - stylowy drewniany budynek - położona w sercu Beskidu Sądeckiego,  przyciąga niepowtarzalną atmosferą, specyficznym, zdrowym dla alergików klimatem i wyśmienitą kuchnią. Do dyspozycji wypoczywających przeznaczona jest świetlica. Zajęcia grupowe można również przeprowadzać na górnym holu.  Wielka  leśna polana i spory plac przed Stanicą umożliwiają przeprowadzenie zabaw na świeżym powietrzu.
Gospodarzem obiektu jest Związek Harcerstwa Polskiego, Hufiec im. Bohaterów Ziemi Sądeckiej w Nowym Sączu, dlatego też proponujemy Państwu w ramach oferty zajęcia prowadzone przez naszych najlepszych instruktorów zgodnie z misją ZHP i metodyką harcerską: gry i zabawy, pląsy, naukę piosenek, zorganizowanie rozgrywek sportowych,  prawdziwą harcerską gawędę w kręgu ogniska, jak również krótkie wycieczki  szlakami Beskidu Sądeckiego i Popradzkiego Parku Krajobrazowego z wykwalifikowanym Przewodnikiem Górskim Beskidzkim oraz szereg bajań na temat zwyczajów ludowych Ziemi Sądeckiej i Piwniczańskiej.  Przeprowadzenie zajęć w ramach ścieżki regionalnej i międzyprzedmiotowej m.in. z pracownikiem Muzeum Regionalnego w Piwnicznej, pracownikiem Nadleśnictwa (w terenie), funkcjonariuszami Straży Granicznej czy Policji (edukacja regionalna, patriotyczna – w tym program dla Małej Ojczyzny - język polski, historia, przyroda, bezpieczeństwo, muzyka, plastyka, wychowanie fizyczne).",tak
9,Wielkopolska,Baza Hufca ZHP Szamotuły w Jeleńcu,wielkopolskie,"64-510 Sieraków, Jeleniec, Leśnictwo Lichwin",,,,,Szerokość geograficzna: 52.696270048888444  Długość geograficzna: 16.070455312728885,,,szamotuly@zhp.wlkp.pl,666 388 572,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"las sosnowy w terenie morenowym, baza położona nad Jeziorem, Obszar Natura 2000
",domki;namioty (baza udostępnia własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;,,tak
10,Wielkopolska,Stanica Próchnówko,zachodniopomorskie,"Stanica Próchnówko
78-640 Tuczno",,,,,,,,pila@zhp.wlkp.pl                ,601 57 68 29,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Stanica znajduje się na terenie rezerwatu "" Bytyń Wielki"" o powierzchni ponad 4 hektarów. Na terenie stanicy znajduje się 5 samodzielnych podobozów z własnym oświetleniem i podłączeniem energetycznym. Teren leśny to drzewostan mieszany z przewagą drzew liściastych, posiadamy własne kąpielisko nad jeziorem "" Bytyń"".",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;prąd dla obozów;,kąpielisko;krąg ogniskowy;świetlica w budynku;,,tak
